"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.608584520E-1	-1.061499119E-1	-1.556725502E-1	5.686397552E-1	5.990433356E-1
3.658893890E-1	-1.147389412E-1	-1.384196281E-1	6.358089447E-1	6.607405181E-1
3.709203270E-1	-1.651896238E-1	-1.131324768E-1	6.840848923E-1	7.127823714E-1
3.759512640E-1	-2.286891937E-1	-6.590104103E-2	7.043409348E-1	7.434634133E-1
3.809822020E-1	-2.673753500E-1	-2.539134026E-2	7.205686569E-1	7.689951153E-1
3.860131390E-1	-2.816997766E-1	4.156231880E-2	6.525144577E-1	7.119391182E-1
3.910440770E-1	-2.767426968E-1	9.206151962E-2	5.343561172E-1	6.087678569E-1
3.960750140E-1	-2.902759314E-1	1.407151222E-1	4.186096191E-1	5.284835619E-1
4.011059520E-1	-2.793759108E-1	1.924355030E-1	3.287582397E-1	4.724026911E-1
4.061368890E-1	-2.489346266E-1	2.521805763E-1	3.068494797E-1	4.687431008E-1
4.111678270E-1	-1.991424561E-1	3.012218475E-1	2.951650620E-1	4.663847479E-1
4.161987640E-1	-1.445628405E-1	3.257281780E-1	2.414608002E-1	4.304655373E-1
4.212297020E-1	-1.231658459E-1	3.263571262E-1	2.028293610E-1	4.035078055E-1
4.262606390E-1	-9.673321247E-2	2.988231182E-1	1.411762238E-1	3.443592550E-1
4.312915770E-1	-7.482957840E-2	2.720282078E-1	1.039781570E-1	3.006830038E-1
4.363225140E-1	-6.702101231E-2	2.697887421E-1	1.286764145E-1	3.063256455E-1
4.413534520E-1	-9.249365330E-2	2.587609291E-1	1.955347061E-1	3.372626805E-1
4.463843890E-1	-1.512094736E-1	2.580058575E-1	2.661714554E-1	4.003480624E-1
4.514153270E-1	-2.148371935E-1	2.437167168E-1	3.168659210E-1	4.538247125E-1
4.564462640E-1	-2.361931801E-1	2.302560806E-1	3.857069016E-1	5.075183690E-1
4.614772020E-1	-2.585613728E-1	2.127065659E-1	4.583539963E-1	5.676147043E-1
4.665081390E-1	-2.346235514E-1	1.530716419E-1	5.253820419E-1	5.954035845E-1
4.715390770E-1	-1.361498833E-1	-5.259251595E-2	4.686403275E-1	4.908426631E-1
4.765700140E-1	3.593325615E-3	-2.846648693E-1	3.796663284E-1	4.745455940E-1
4.816009520E-1	4.280304909E-2	-2.353520393E-1	3.821001053E-1	4.508028104E-1
4.866318890E-1	3.504514694E-2	-9.744453430E-2	4.229803085E-1	4.354720898E-1
4.916628270E-1	-2.851653099E-2	7.571339607E-2	4.688510895E-1	4.757804693E-1
4.966937640E-1	-1.330819130E-1	2.408380508E-1	5.197544098E-1	5.880972783E-1
5.017247020E-1	-2.498546839E-1	3.884582520E-1	5.803976059E-1	7.417469633E-1
5.067556390E-1	-3.219918013E-1	4.901301861E-1	7.028560638E-1	9.153758604E-1
5.117865770E-1	-3.502700329E-1	5.274171829E-1	7.016344070E-1	9.450655120E-1
5.168175140E-1	-3.447433710E-1	5.103945732E-1	6.016845703E-1	8.610313202E-1
5.218484520E-1	-2.818939686E-1	4.493246078E-1	4.513053894E-1	6.964433697E-1
5.268793890E-1	-2.045763731E-1	3.401052952E-1	2.983379364E-1	4.965164937E-1
5.319103270E-1	-1.173400879E-1	2.025656700E-1	2.043018341E-1	3.107101323E-1
5.369412640E-1	-1.054835320E-2	8.474159241E-2	1.685028076E-1	1.889063297E-1
5.419722020E-1	7.301831245E-2	1.525449753E-2	2.044763565E-1	2.176578830E-1
5.470031390E-1	1.189403534E-1	-3.919982910E-2	3.113727570E-1	3.356135099E-1
5.520340770E-1	1.318442822E-1	-3.107333183E-2	3.840551376E-1	4.072429440E-1
5.570650140E-1	1.114434004E-1	-3.524780273E-3	4.369859695E-1	4.509864667E-1
5.620959520E-1	8.615255356E-2	1.961994171E-2	4.845323563E-1	4.925229019E-1
5.671268890E-1	9.349298477E-2	5.260229111E-3	5.124492645E-1	5.209345995E-1
5.721578270E-1	1.421461105E-1	-6.522226334E-2	4.781608582E-1	5.030877326E-1
5.771887640E-1	2.405786514E-1	-1.486427784E-1	4.485921860E-1	5.302902153E-1
5.822197020E-1	3.640445471E-1	-1.545701027E-1	3.856220245E-1	5.523809326E-1
5.872506390E-1	4.075494409E-1	-1.311364174E-1	2.420444489E-1	4.918117749E-1
5.922815770E-1	3.955047727E-1	-9.761476517E-2	2.084121704E-1	4.575896637E-1
5.973125140E-1	3.617542386E-1	-6.840205193E-2	2.126102448E-1	4.251447824E-1
6.023434520E-1	3.300695419E-1	-7.207012177E-2	1.641645432E-1	3.756194912E-1
6.073743890E-1	3.100605607E-1	-1.132569313E-1	1.348133087E-1	3.565659995E-1
6.124053270E-1	2.495713234E-1	-1.347382069E-1	1.007070541E-1	3.009686705E-1
6.174362640E-1	1.728388071E-1	-1.700124741E-1	7.144165039E-2	2.527477082E-1
6.224672020E-1	6.613856554E-2	-2.048087120E-1	-4.790878296E-2	2.204907478E-1
6.274981390E-1	7.277929783E-2	-2.486453056E-1	-4.759979248E-2	2.634142260E-1
6.325290770E-1	9.225404263E-2	-2.350018024E-1	4.767417908E-2	2.569231069E-1
6.375600140E-1	6.227314472E-2	-1.881897449E-1	1.659116745E-1	2.584956642E-1
6.425909520E-1	-7.310926914E-3	-1.370658875E-1	1.977443695E-1	2.407142348E-1
6.476218890E-1	-8.732825518E-2	-8.172345161E-2	1.344327927E-1	1.799364400E-1
6.526528270E-1	-1.482276917E-1	-3.304719925E-3	1.959609985E-2	1.495539263E-1
6.576837640E-1	-1.843581200E-1	8.844470978E-2	-8.516311646E-3	2.046531472E-1
6.627147020E-1	-2.378031611E-1	1.741614342E-1	5.902957916E-2	3.006111106E-1
6.677456390E-1	-2.553244233E-1	2.396483421E-1	1.312599182E-1	3.739666498E-1
6.727765770E-1	-2.129902244E-1	2.231395245E-1	1.369228363E-1	3.374965869E-1
6.778075140E-1	-1.201843619E-1	1.823761463E-1	-4.227161407E-2	2.224684898E-1
6.828384520E-1	-5.998015404E-4	1.604778767E-1	-3.907222748E-1	4.223948445E-1
6.878693890E-1	1.319802403E-1	1.195085049E-1	-7.076377869E-1	7.296932945E-1
6.929003270E-1	3.112719655E-1	5.989170074E-2	-8.412761688E-1	8.990121493E-1
6.979312640E-1	5.654785037E-1	-8.437585831E-2	-8.026342392E-1	9.854475864E-1
7.029622020E-1	8.602257967E-1	-2.694358826E-1	-6.216468811E-1	1.095001809E0
7.079931390E-1	1.118012905E0	-4.184595346E-1	-4.658794403E-1	1.281446406E0
7.130240770E-1	1.261829615E0	-4.743311405E-1	-4.588575363E-1	1.423992362E0
7.180550140E-1	1.296614647E0	-4.753122330E-1	-5.330715179E-1	1.480302842E0
7.230859520E-1	1.279824734E0	-4.357714653E-1	-6.404666901E-1	1.496009926E0
7.281168890E-1	1.207063437E0	-4.080636501E-1	-7.190380096E-1	1.463056302E0
7.331478270E-1	1.059894323E0	-3.633997440E-1	-6.929225922E-1	1.317413022E0
7.381787640E-1	9.389323592E-1	-3.208971024E-1	-5.770692825E-1	1.147857954E0
7.432097020E-1	8.298398256E-1	-2.425230742E-1	-3.863048553E-1	9.469334818E-1
7.482406390E-1	7.465364933E-1	-1.475634575E-1	-1.543827057E-1	7.764829229E-1
7.532715770E-1	6.884144545E-1	-4.586231709E-2	1.388263702E-2	6.900800974E-1
7.583025140E-1	6.407328248E-1	5.359768867E-3	1.094789505E-1	6.500407068E-1
7.633334520E-1	5.701932907E-1	2.529323101E-2	1.520118713E-1	5.906502733E-1
7.683643890E-1	4.769787490E-1	-3.079175949E-4	1.799697876E-1	5.098018696E-1
7.733953270E-1	4.182260036E-1	-5.243277550E-2	1.459827423E-1	4.460640617E-1
7.784262640E-1	4.314319491E-1	-1.311402321E-1	1.171045303E-1	4.658806266E-1
7.834572020E-1	4.491035342E-1	-2.507690191E-1	1.028575897E-1	5.245557827E-1
7.884881390E-1	5.131880045E-1	-4.302282333E-1	6.032657623E-2	6.723820019E-1
7.935190770E-1	6.128674746E-1	-5.884790421E-1	-1.292438507E-1	8.594289367E-1
7.985500140E-1	6.378264427E-1	-6.543711424E-1	-3.745450974E-1	9.875769302E-1
8.035809520E-1	6.262098551E-1	-6.523544192E-1	-5.134887695E-1	1.039892200E0
8.086118890E-1	5.352444649E-1	-6.259268522E-1	-5.277032852E-1	9.781318003E-1
8.136428270E-1	4.463225603E-1	-5.704950094E-1	-3.941802979E-1	8.246493138E-1
8.186737640E-1	4.357056618E-1	-4.767564535E-1	-1.518850327E-1	6.634796175E-1
8.237047020E-1	4.647080898E-1	-3.688966036E-1	2.128181458E-1	6.303410791E-1
8.287356390E-1	4.897074103E-1	-2.091834545E-1	6.563701630E-1	8.452176384E-1
8.337665770E-1	4.953123629E-1	-1.271671057E-2	1.049818993E0	1.160868627E0
8.387975140E-1	4.473173618E-1	1.959189177E-1	1.307845116E0	1.396042940E0
8.438284520E-1	3.120180964E-1	4.160739779E-1	1.402762413E0	1.496066588E0
8.488593890E-1	1.899343729E-1	5.902379751E-1	1.387969971E0	1.520169916E0
8.538903270E-1	1.006901860E-1	7.469497919E-1	1.288007736E0	1.492325847E0
8.589212640E-1	6.421354413E-2	8.861086965E-1	1.174860001E0	1.472958934E0
8.639522020E-1	6.250435114E-2	9.792547822E-1	1.015351295E0	1.412014510E0
8.689831390E-1	6.339427829E-2	9.885628223E-1	8.193206787E-1	1.285519997E0
8.740140770E-1	1.205287129E-1	9.002634287E-1	5.774803162E-1	1.076329377E0
8.790450140E-1	1.966992468E-1	7.342442870E-1	3.472023010E-1	8.356761960E-1
8.840759520E-1	3.449432254E-1	4.863638282E-1	1.950283051E-1	6.273528846E-1
8.891068890E-1	5.080798864E-1	1.621304452E-1	1.299772263E-1	5.489312631E-1
8.941378270E-1	6.669263244E-1	-2.377905846E-1	2.229137421E-1	7.423109999E-1
8.991687640E-1	8.210821152E-1	-6.605241299E-1	4.157781601E-1	1.132845728E0
9.041997020E-1	9.845888615E-1	-9.486958981E-1	6.080112457E-1	1.496367872E0
9.092306390E-1	1.043020725E0	-1.126730204E0	7.900905609E-1	1.726747312E0
9.142615770E-1	9.970793128E-1	-1.219051600E0	9.049320221E-1	1.816357873E0
9.192925140E-1	8.430713415E-1	-1.154801250E0	9.100341797E-1	1.694844365E0
9.243234520E-1	6.253691912E-1	-9.873512983E-1	8.678522110E-1	1.455718610E0
9.293543890E-1	4.221232831E-1	-7.271167636E-1	8.166399002E-1	1.172086849E0
9.343853270E-1	2.971448302E-1	-4.652931094E-1	7.563037872E-1	9.363696633E-1
9.394162640E-1	2.187111676E-1	-2.498365492E-1	7.105407715E-1	7.842965409E-1
9.444472020E-1	1.644257605E-1	-1.047042906E-1	7.029256821E-1	7.294541341E-1
9.494781390E-1	1.730705500E-1	-8.708760142E-2	7.617149353E-1	7.859690250E-1
